QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
IGNITE_DEV|IGNITE_FDS0301|1|What is needed for Red Hat Fuse Ignite to create a connector for REST APIs?|||Project object model|||0|0|||
IGNITE_DEV|IGNITE_FDS0301|1|What is needed for Red Hat Fuse Ignite to create a connector for REST APIs?|||XSLT style sheet|||0|0|||
IGNITE_DEV|IGNITE_FDS0301|1|What is needed for Red Hat Fuse Ignite to create a connector for REST APIs?|||CamelContext|||0|0|||
IGNITE_DEV|IGNITE_FDS0301|1|What is needed for Red Hat Fuse Ignite to create a connector for REST APIs?|||Swagger specification|||1|100|||
IGNITE_DEV|IGNITE_FDS0302|1|What is the correct step sequence to create a specific API client connector?|||Review Swagger actions, specify security, upload a Swagger file|||0|0|||
IGNITE_DEV|IGNITE_FDS0302|1|What is the correct step sequence to create a specific API client connector?|||Specify security, upload a Swagger file, review Swagger actions|||0|0|||
IGNITE_DEV|IGNITE_FDS0302|1|What is the correct step sequence to create a specific API client connector?|||Upload a Swagger file, specify security, review Swagger actions|||0|0|||
IGNITE_DEV|IGNITE_FDS0302|1|What is the correct step sequence to create a specific API client connector?||| Upload a Swagger file, review Swagger actions, specify security|||1|100|||
IGNITE_DEV|IGNITE_FDS0303|5|Each HTTP response of a RESTful service can be defined using a distinct schema file.|||TRUE|||1|100|||
IGNITE_DEV|IGNITE_FDS0303|5|Each HTTP response of a RESTful service can be defined using a distinct schema file.|||FALSE|||0|0|||
IGNITE_DEV|IGNITE_FDS0304|5|The API client connector wizard in Fuse Ignite recognizes Swagger documents both in YAML and JSON formats.|||TRUE|||1|100|||
IGNITE_DEV|IGNITE_FDS0304|5|The API client connector wizard in Fuse Ignite recognizes Swagger documents both in YAML and JSON formats.|||FALSE|||0|0|||
IGNITE_DEV|IGNITE_FDS0305|5|Constants, that are used in data mapping, can only be created in the Sources pane of the data mapper.|||TRUE|||1|100|||
IGNITE_DEV|IGNITE_FDS0305|5|Constants, that are used in data mapping, can only be created in the Sources pane of the data mapper.|||FALSE|||0|0|||
